Title,Address,Editor-Notes,Category,ALPDEntry
Farmer-Labor Advocate (weekly),"Farmer-Labor Federation, Incorporated, 158 East 3rd Street, St. Paul, Minnesota",Ralph L. Harmon,Farmer-Labor,"Farmer-Labor Advocate (weekly). Wednesdays. Established 1923, 4 pages, $2. Farmer-Labor Federation, Inc., 158 East 3rd Street, St. Paul, Minn. Ralph L. Harmon. Federated Press, International Labor News. Uses mats."
Farmer-Labor News (weekly),"Bredsteen & Tosh, Labor Temple, 606 10th Street, Modesto, California",Joseph Bredsteen,Farmer-Labor,"Farmer-Labor News (weekly). Tuesdays. Established 1923, 4 pages, $2. Bredsteen & Tosh, Labor Temple, 606 10th Street, Modesto, Calif. Joseph Bredsteen. Official organ, Central Labor 'Council, County branch of Farmers' Educational and Cooperative Union of America."
Farmer-Labor News (weekly),"212 South Main Avenue, Sioux Falls, South Dakota.",Walter J. Flanagan,Farmer-Labor,"Farmer-Labor News (weekly). Thursdays. Established 1919, 8 or more pages, $2.50, circulation 1,500. Walter J. Flana gan, pub. and ed., 212 South Main Avenue, Sioux Falls, So. Dak. Endorsed by the State Federation of Labor and Railway Employees Progressive Club. Issues large editions during campaigns."
Farmer-Labor State Record (weekly),"State Record Publishing Company, Bismarck, IN","D. King, mgr",Farmer-Labor,"Farmer-Labor State Record (weekly). Thursdays. Established 1920, $2, circulation 2,000. State Record Publishing Co., Bismarck, IN. D. C. D. King, mgr. Official organ, County and State; endorsed by State Federation of Labor. Farmer-Labor politics."
Hoosier Fanner (monthly),"Indiana Farm Bureau, 16 W.  Senate Avenue, Indianapolis, Indiana",William L. Stahl,Farmer-Labor,"Hoosier Fanner (monthly). Established 1919, 32 pages, $1, cir culation 100,000. Indiana Farm Bureau, 16 W. Senate Avenue, Indianapolis, Ind. William L. Stahl."
Iowa Homestead (weekly),"Des Moines, Iowa","Dante M. Pierce, pub and ed.",Farmer-Labor,"Iowa Homestead (weekly). Fridays. $3.50, circulation 170,000. Dante M. Pierce, pub. and ed., Des Moines, Iowa. Progressive politics."
"Kansas Leader, The (weekly)","117 South 5th Street, Salina, Kansas","Fred J. Fraley, pub and ed.",Farmer-Labor,"Kansas Leader, The (weekly). Thursdays. Established 1919, 8 pages, $2, circulation, 2,500-3,000. Fred J. Fraley, pub. and ed., 117 South 5th Street, Salina, Kansas. Official organ, Kansas Non Partisan League. Uses mats."
Marshall County Enterprise (weekly),"115 Lillie Boulevard, Madill, Oklahoma",George H. Wyatt,Farmer-Labor,"Marshall County Enterprise (weekly). Thursdays. Established 1923, 8 pages, $1 and $1.50, circulation 2,100. George H. Wyatt and S. L. Yeary, 115 Lillie Boulevard, Madill, Okla. George H. Wyatt. Official organ, .Farm- Labor Union of America, Marshall County."
Minnesota Leader (fortnightly),"Northwest Publishing Company, Lock Box 2072, Minneapolis, Minnesota",O. M. Thomason,Farmer-Labor,"Minnesota Leader (fortnightly). Established 1916, 4 pages, $2, circu lation 20,000. Northwest Publishing Co., Lock Box 2072, Minneapolis, Minn. O. M. Thomason. Official or gan, Nonpartisan League. Uses mats."
"National Gleaner Forum, The (monthly)","The Ancient Order of Gleaners, 5705 Woodward Avenue, Detroit, Michigan","R. L.  Holloway, Miss Mabel Clare Ladd, Dr. M. M. Wickware, E. J. McLean",Farmer-Labor,"National Gleaner Forum, The (monthly). Established 1894, 16 pages, $.25, circulation 65,000. The Ancient Order of Gleaners, 5705 Woodward Avenue, Detroit, Mich. R. L. Holloway, Miss Mabel Clare Ladd, Dr. M. M. Wickware, E. J. McLeans."
North Dakota Nonpartisan (weekly),"North Dakota Nonpartisan (cooperative), Bismarck, ND",NONE,Farmer-Labor,"North Dakota Nonpartisan (weekly). Established 1923, 6 pages, $2. North Dakota Nonpartisan (cooperative), Bismarck, N. D. Official organ, North Dakota Nonpartisan League."
"Peoples Press, The (weekly)","Kittson County Cooperative Publishing Co., Hallock, Minnesota",Emil Hallgren,Farmer-Labor,"Peoples Press, The (weekly). Fridays. Established 1889, 8 pages, $2, circulation 1,430. Kittson County Cooperative Publishing Co., Hallock, Minn. Owned by farmers. Emil Hallgren. Farmer-Labor politics."
"Peoples Voice, The (weekly)","Farmer-Labor Publishing Co., 712 Chicago Street, Green Bay, Wisconsin",F. H. Shoemaker,Farmer-Labor,"Peoples Voice, The (weekly). Thursdays. Established 1922, 8 and more pages, $3, circulation 3,720. Farmer-Labor Publishing Co., Inc., 712 Chicago Street, Green Bay, Wise. F. H. Shoemaker. Official organ, Federated Trades Council, Local, American Society of Equity, etc. International Labor News. Uses mats."
"Union Press, The (weekly)",", Ozan, (Gurdon, to be new location), Arkansas","F. C.  Hawkins, pub and ed",Farmer-Labor,"Union Press, The (weekly). Established 1924, 8 pages, $1.50, circulation 1,200. F. C. Hawkins, pub. and ed., Ozan, (Gurdon, to be new location), Ark. Endorsed by Farm Labor Union. Democratic."
Uusi Kotima (semi-w,"The Peoples Voice Cooperative Pub lishing Co. (Finnish), New York Mills, Minnesota","K. E. Heikkinen, J. W. Lahde",Farmer-Labor,"Uusi Kotima (semi-w.). Established 1881, 8 pages, $2.75, circulation 8,000. The Peoples Voice Cooperative Pub lishing Co. (Finnish), New York Mills, Minn. K. E. Heikkinen, J. W. Lahdes. Endorsed by Farmer- Labor Federation of Minnesota. Federated Press."
Waco Farm and Labor Journal (weekly),"Waco, Texas","J. M. Pittillo, pub and ed",Farmer-Labor,"Waco Farm and Labor Journal (weekly). Fridays. Established 1906, 12 pages, $1.50, circulation 4,000. J. M. Pittillo, pub. and ed., Waco, Tex. Uses mats. Democratic."
Western Progressive Farmer (monthly),"Western Progressive Farmers, Sedro Wooley, Washington",Elihu Bowles,Farmer-Labor,"Western Progressive Farmer (monthly). Established 1922, 16 pages, $1, circulation 5,000. Western Progressive Farmers. Sedro Wooley, Wash. Elihu Bowles. Farmer-Labor Party politics."
"American Child, The (monthly)","National Child Labor Committee, 214 Fouth Avenue, New York, New York","Owen R. Lovejoy, Frances B. Williams",Publications Concerned with Labor Questions,"American Child, The (monthly). Established 1912, 8 pages, $2, circulation 13,000. National Child Labor Committee, 214 Fouth Avenue, New York, N. Y. Owen R. Love- joy, Frances B. Williamss."
American Economic Review (quarterly),"American Economic Association, Yale Station, New Haven, Conn",Davis R. Dewey,Publications Concerned with Labor Questions,"American Economic Review (quarterly). Established 1885, 208 pages, $5, circulation 3,500. American Economic Asso ciation, Yale Station, New Haven, Conn. Davis R. Dewey., 222 Charles River Road, Cambridge, Mass. Scientific publication."
"American Labor Legislation Review, The (quarterly)","American Associ ation for Labor Legislation, 131 East 23rd Street, New York, ,New York","John B. Andrews, Frederick W. MacKenzie",Publications Concerned with Labor Questions,"American Labor Legislation Review, The (quarterly). Established 1911, 100 pages, $3, circulation 3,500. American Associ ation for Labor Legislation, 131 East 23rd Street, New York, ,N. Y. John B. Andrews, Frederick W. Mac- Kenzies. Scientific publication."
"Annals of the American Academy of Political and Social Science, The (bimonthly)","American Academy of Politi cal and Social Science, West Philadelphia Post Office, Philadelphia, Pennsylvania",Dr. Clyde L. King,Publications Concerned with Labor Questions,"Annals of the American Academy of Political and Social Science, The (bimonthly). Established 1889, 250-350 pages, $5-7.50, circulation 9,000. American Academy of Politi cal and Social Science, West Philadelphia Post Office, Philadelphia, Pa. Dr. Clyde L. King. Dr Joseph H. Willits, assoc. ed., J. H. Salter, asst. ed."
"Arbitrator, The (monthly)","114 East 31st Street, New York, New York","William Floyd, pub and ed.",Publications Concerned with Labor Questions,"Arbitrator, The (monthly). Established 1918, 4 pages, $.60, small circulation. William Floyd, pub. and ed., 114 East 31st Street, New York, N. Y. Radical digest of news."
"Journal of Political Economy, The (bimonthly)","Department of Political Economy, The University of Chicago, 5750 Ellis Avenue, Chicago, Illinois",NONE,Publications Concerned with Labor Questions,"Journal of Political Economy, The (bimonthly). Established 1892, 112 pages, $4, circulation 1,000. Department of Political Economy, The University of Chicago, 5750 Ellis Avenue, Chicago, Ill. Scientific publication."
Law and Labor (monthly),"League for Industrial Rights, 165 Broadway, New York, New York",Murray T. Quigg,Publications Concerned with Labor Questions,"Law and Labor (monthly). Established 1919, 32 pages, $5. League for Industrial Rights, 165 Broadway, New York, N. Y. Murray T. Quigg. Review of the law relating to industrial relations and to plans and contracts for industrial employment."
"Nation, The (weekly)","The Nation, Inc., 20 Vesey St., New York, New York","Oswald Garrison Villard, Lewis S. Gannett, Arthur Warner, Freda Kirchwey, Joseph Wood Krutch, Mark Van Doren",Publications Concerned with Labor Questions,"Nation, The (weekly). Thursdays. Established 1865, 32 pages, $5, circulation 33,371. The Nation, Inc., 20 Vesey St., New York, N. Y. Oswald Garrison Villard., Lewis S. Gannett, Arthur Warner, Freda Kirchwey, Joseph Wood Krutch, Mark Van Doren, assoc. eds."
"New Republic, The (weekly)","421 West 21st Street, New York, New York","Herbert Croly, Alvin Johnson, Bruce Bliven,  Ayres, Robert Littell, George Soule, Robert Morss Lovett",Publications Concerned with Labor Questions,"New Republic, The (weekly). The New Republic, Inc., 421 West 21st Street, New York, N. Y. Herbert Croly, Alvin Johnson, Bruce Bliven, C. E. Ayres, Robert Littell, George Soule, Robert Morss Lovetts."
News-Bulletin (irregular),"National Bureau of Economic Research, Inc., 474 West 24th Street, New York, New York",G. R. Stahl,Publications Concerned with Labor Questions,"News-Bulletin (irregular). Established 1922, 4 pages, circula tion 10,000. National Bureau of Economic Research, Inc., 474 West 24th Street, New York, N. Y. G. R. Stahl, exec. sect."
Political Science Quarterly (quarterly),"Acad emy of Political Science, Kent Hall, Columbia University, New York, New York",Parker Thomas Moon,Publications Concerned with Labor Questions,"Political Science Quarterly (quarterly). Record of Political Events, annual supplement to March issue. Established 1886, 176 and more pages, $5, circulation 7,000. Acad emy of Political Science, Kent Hall, Columbia Univer sity, New York, N. Y. Parker Thomas Moon. man. ed."
"Quarterly Journal of Economics, The (quarterly)","Harvard Uni versity, Cambridge, Massachusetts","F. W. Taussig, T. N. Carver, William Z. Ripley, E. F.  Gay, Allyn A. Young, C. J. Bullock, Warren M. Persons",Publications Concerned with Labor Questions,"Quarterly Journal of Economics, The (quarterly). Established 1866, 175-200 pages, $5, circulation 1,200. Harvard Uni versity, Cambridge, Mass. F. W. Taussig., T. N. Carver, William Z. Ripley, E. F. Gay, Allyn A. Young, C. J. Bullock, Warren M. Persons, assoc. eds. Scien tific publication."
"Road to Freedom, The (monthly)","The Road to Freedom Publishing Association, Stelton, New Jersey",Hippolyte Havel,Publications Concerned with Labor Questions,"Road to Freedom, The (monthly). Established 1924, 8 pages, $1, circulation 1,200. The Road to Freedom Publishing Association, Stelton, N. J. Hippolyte Havel. Ex ponent of Anarchist thought, work and literature."
"Survey, The (fortnightly)","Survey Associates, Inc., 112 East 19th Street, New York, New York",Paul Kellogg,Publications Concerned with Labor Questions,"Survey, The (fortnightly). Established 1891 as Charities Review, Survey in 1912, $5. Survey Associates, Inc., 112 East 19th Street, New York, N. Y. Paul U. Kellogg."
"World Tomorrow, The (monthly)","The Fellowship Press, Inc., 104 East Ninth Street, New York, New York","Anna Rochester, Devere Allen",Publications Concerned with Labor Questions,"World Tomorrow, The (monthly). Established 1918, 32 pages, $1, circulation 22,000. The Fellowship Press, Inc., 104 East Ninth Street, New York, N. Y. Anna Rochester, Devere Allens. Federated Press, International Federation of Trade Unions, Civil Liberties Bureau, Children's Bureau, Jewish Daily Bulletin, National As sociation for Advancement of Colored People, Federal Council of Churches News Bulletin. Radica1."
California Christian Advocate (weekly),"Methodist Book Concern, 3 City Hall Avenue, San Francisco, California",E. P. Dennett,Religious,"California Christian Advocate (weekly). Thursdays. Estab lished 1851, 24 pages, $2, circulation 7,800. Methodist Book Concern, 3 City Hall Avenue, San Francisco, Calif. Rev. E. P. Dennett. Official organ, Method ist Episcopal Church."
"Catholic Mirror, The (monthly)","The Mirror Press, Inc., 387 Main Street, Springfield, Massachusetts",Michael J. Shea,Religious,"Catholic Mirror, The (monthly). Established 1920, 40-48 pages, $2, circulation 17,000. The Mirror Press, Inc., 387 Main Street, Springfield, Mass. Michael J. Shea. Nation al Catholic Welfare Council News. Endorsed by Bishop of Springfield and Knights of Columbus, Spring field. Uses mats."
Central Blatt and Social Justice (monthly),"Na tional Catholic Central Verein of America, 3835 West minster Place, St. Louis, Missouri","Kenkel, August F. Brockland",Religious,"Central Blatt and Social Justice (monthly). German and English. Established 1907, 32 pages, $2, circulation 4,200. Na tional Catholic Central Verein of America, 3835 West minster Place, St. Louis, Mo. F. P. Kenkel, Aug. F. Brocklands."
"Christian Advocate, The (weekly)","The Methodist Book Concern, 150 Fifth Avenue, New York, New York",James R. Joy,Religious,"Christian Advocate, The (weekly). Thursdays. Established 1826, 32 pages, $2.50, circulation 43,000. The Methodist Book Concern, 150 Fifth Avenue, New York, N. Y. James R. Joy. Official organ, The Methodist Epis copal Church."
Christian Advocate (weekly),"810 Broadway, Nashville, Tennessee",Alfred Franklin Smith,Religious,"Christian Advocate (weekly). Fridays. Established about 1840, 32 pages, $2.50, circulation 17,000. Lamar and Barton, 810 Broadway, Nashville, Tenn. Alfred Franklin Smith. Official organ, Methodist Episcopal Church, South. Uses mats."
"Christian Century, The (weekly)","The Christian Century Press, 440 South Dearborn Street, Chicago, Illinois","Charles Clayton Mor rison, Paul Hutchinson, man",Religious,"Christian Century, The (weekly). Thursdays. Established 1886, 32 pages, $4. The Christian Century Press, 440 South Dearborn Street, Chicago, Ill. Charles Clayton Mor rison., Paul Hutchinson, man. ed."
"Christian Register, The (weekly)","The Christian Register, Inc., 16 Beacon Street, Boston, Massachusetts","Albert C. Dieffenbach, D.D.",Religious,"Christian Register, The (weekly). Thursdays. Established 1821, 24-28 pages, $3, circulation 8,000. The Christian Register, Inc., 16 Beacon Street, Boston, Mass. Albert C. Dieffenbach, D.D.. Official organ, Unitarian Church, and endorsed by the American Unitarian Asso ciation."
Christian Work (weekly),"70 Fifth Avenue, New York, New York","Frederick Lynch, D.D. ed in chief",Religious,"Christian Work (weekly). Continues the Evangelist and New York Observer. Saturdays. Established 1886, 32 pages, $3.50. Frederick Lynch, D.D.. in chief, Henry Strong Huntington, assoc. ed., Fred Eastman, man. ed., 70 Fifth Avenue, New York, N. Y. ""Endorsed by leading religious liberals."""
"Congregationalist, The (weekly)","The Congregational Publishing Society, 14 Beacon Street, Boston, Massachusetts","William E Gilroy, Rolfe Cobleigh",Religious,"Congregationalist, The (weekly). Thursdays. Established 1816, 32 pages, $3, circulation 20,000. The Congregational Publishing Society, 14 Beacon Street, Boston, Mass. William E. Gilroy, Rolfe Cobleighs. Auspices, National Council of Congregational Churches."
